epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
64,324.199,1.18138,0.99532,2.15185,0.16792,0.9315,0.96296,0.97621,0.80767,0.75161,0.47656,1.76207,0.12099,0.000537733,0.000537733,0.000537733
65,329.473,1.15911,0.98445,2.15337,0.17742,0.93814,0.94548,0.96462,0.7915,0.74601,0.471,1.78334,0.14802,0.000523586,0.000523586,0.000523586
66,334.965,1.17777,0.98701,2.13865,0.19859,0.9578,0.94439,0.98464,0.76028,0.93727,0.53917,1.95236,0.16338,0.000509438,0.000509438,0.000509438
67,340.178,1.15858,0.93874,2.12256,0.16426,0.98398,0.98916,0.995,0.80212,0.77807,0.47761,1.77763,0.11747,0.000495291,0.000495291,0.000495291
68,345.298,1.14178,0.94266,2.08023,0.16542,0.96252,0.99298,0.995,0.79353,0.83452,0.45092,1.858,0.12138,0.000481144,0.000481144,0.000481144
69,350.333,1.14492,0.93224,2.12796,0.15969,0.95979,0.99101,0.995,0.80846,0.74677,0.42068,1.8254,0.11421,0.000466997,0.000466997,0.000466997
70,355.561,1.1124,0.87112,2.10294,0.17771,0.9701,0.99338,0.995,0.8186,0.74208,0.41205,1.74475,0.08067,0.00045285,0.00045285,0.00045285
71,360.631,1.11766,0.90894,2.10257,0.15965,0.98384,0.99504,0.995,0.81555,0.76813,0.40196,1.76815,0.09575,0.000438703,0.000438703,0.000438703
72,365.729,1.17787,1.01115,2.12899,0.18019,0.97879,0.9769,0.995,0.8126,0.77102,0.42033,1.77721,0.11104,0.000424556,0.000424556,0.000424556
73,370.811,1.11477,0.92508,2.0472,0.16277,0.94001,0.93744,0.995,0.79244,0.84149,0.51224,1.85736,0.08738,0.000410409,0.000410409,0.000410409
74,375.85,1.13315,0.93965,2.11544,0.17029,0.92549,0.95568,0.98097,0.80385,0.73335,0.53331,1.77713,0.0722,0.000396262,0.000396262,0.000396262
75,380.866,1.11061,0.95494,2.07201,0.13581,0.92654,0.94993,0.97081,0.8079,0.68223,0.52661,1.75849,0.06889,0.000382115,0.000382115,0.000382115
76,385.88,1.10459,0.9409,2.1043,0.15012,0.95074,0.93292,0.99133,0.8007,0.78465,0.48489,1.81568,0.05344,0.000367967,0.000367967,0.000367967
77,390.901,1.087,0.88401,2.00974,0.15905,0.95836,0.96998,0.995,0.84285,0.73143,0.41336,1.80293,0.05584,0.00035382,0.00035382,0.00035382
78,395.95,1.13538,0.90022,2.1076,0.18254,0.94675,0.97231,0.995,0.82325,0.73251,0.42821,1.76657,0.06163,0.000339673,0.000339673,0.000339673
79,400.888,1.073,0.89232,2.01859,0.15413,0.93251,0.98172,0.99133,0.82881,0.78022,0.45686,1.79796,0.07592,0.000325526,0.000325526,0.000325526
80,405.82,1.04554,0.88178,1.99487,0.14127,0.93912,0.97184,0.995,0.83035,0.74544,0.44217,1.75793,0.07909,0.000311379,0.000311379,0.000311379
81,410.901,1.07525,0.9496,1.99576,0.14115,0.94648,0.93615,0.995,0.81488,0.74947,0.45407,1.71987,0.07218,0.000297232,0.000297232,0.000297232
82,415.811,1.08633,0.91274,2.01486,0.15215,0.94656,0.94965,0.995,0.83741,0.73178,0.42486,1.68056,0.08475,0.000283085,0.000283085,0.000283085
83,420.775,1.12243,0.95616,2.08217,0.15808,0.95499,0.98543,0.995,0.80799,0.80416,0.44671,1.7662,0.08506,0.000268938,0.000268938,0.000268938
84,425.77,1.08988,0.9027,2.03954,0.13705,0.97001,0.9493,0.99133,0.81678,0.7531,0.44474,1.70338,0.10445,0.000254791,0.000254791,0.000254791
85,430.749,1.04755,0.89347,2.00191,0.12511,0.98208,0.97404,0.995,0.83756,0.68842,0.40434,1.63237,0.09706,0.000240644,0.000240644,0.000240644
86,435.67,1.06981,0.93997,1.9754,0.12656,0.98269,0.97228,0.995,0.86249,0.64791,0.39276,1.59666,0.09096,0.000226497,0.000226497,0.000226497
87,440.594,1.01724,0.8417,1.97319,0.1292,0.93987,0.97864,0.99133,0.83914,0.66634,0.41049,1.66728,0.09808,0.000212349,0.000212349,0.000212349
88,445.583,1.00033,0.87176,1.98768,0.14348,0.97824,0.94282,0.99133,0.85724,0.70807,0.43406,1.661,0.08308,0.000198202,0.000198202,0.000198202
89,450.613,1.03843,0.83573,2.00943,0.14016,0.97094,0.91751,0.9883,0.84214,0.69498,0.43614,1.67266,0.07439,0.000184055,0.000184055,0.000184055
90,455.571,1.08604,0.94619,2.02201,0.13976,0.96817,0.95942,0.99133,0.83625,0.71373,0.43245,1.7715,0.09285,0.000169908,0.000169908,0.000169908
