epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
68,1048.01,0.67851,0.42169,1.19761,0.01898,0.99706,1,0.995,0.8499,0.59986,0.29297,1.19586,0.00897,0.000561279,0.000561279,0.000561279
69,1061.8,0.6734,0.4255,1.15993,0.02286,0.99525,1,0.995,0.84193,0.60544,0.29206,1.22265,0.00715,0.000544776,0.000544776,0.000544776
70,1075.59,0.67435,0.42293,1.18128,0.02596,0.99769,1,0.995,0.85547,0.58268,0.28714,1.17895,0.00727,0.000528272,0.000528272,0.000528272
71,1089.4,0.65598,0.41793,1.16452,0.02156,0.9963,1,0.995,0.84456,0.60309,0.29118,1.19088,0.01178,0.000511769,0.000511769,0.000511769
72,1103.11,0.66084,0.42019,1.15584,0.02287,0.99729,1,0.995,0.84807,0.58487,0.29247,1.18661,0.00742,0.000495266,0.000495266,0.000495266
73,1116.81,0.66708,0.41646,1.16095,0.0227,0.99952,1,0.995,0.86147,0.59507,0.28759,1.18254,0.00725,0.000478762,0.000478762,0.000478762
74,1130.56,0.66201,0.40934,1.17033,0.02395,0.99947,1,0.995,0.85804,0.58527,0.27637,1.19399,0.00758,0.000462259,0.000462259,0.000462259
75,1144.34,0.64412,0.40692,1.14198,0.02319,0.9995,1,0.995,0.8603,0.57938,0.27843,1.18736,0.00657,0.000445756,0.000445756,0.000445756
76,1158.18,0.65086,0.41298,1.15614,0.02121,1,1,0.995,0.85199,0.58936,0.28045,1.18075,0.00707,0.000429253,0.000429253,0.000429253
77,1172.1,0.6424,0.40224,1.15468,0.02147,1,1,0.995,0.86042,0.57554,0.27795,1.17582,0.00677,0.000412749,0.000412749,0.000412749
78,1185.91,0.6343,0.39483,1.1263,0.02081,0.99932,1,0.995,0.84859,0.58406,0.28243,1.18407,0.00601,0.000396246,0.000396246,0.000396246
79,1199.75,0.61305,0.38404,1.12714,0.01772,0.9985,1,0.995,0.85172,0.58359,0.27932,1.179,0.00776,0.000379743,0.000379743,0.000379743
80,1214.66,0.62809,0.39555,1.12531,0.02143,1,1,0.995,0.85154,0.59542,0.28034,1.20451,0.00565,0.000363239,0.000363239,0.000363239
81,1231.06,0.63489,0.40152,1.15123,0.02096,0.99938,1,0.995,0.84524,0.59709,0.27816,1.18551,0.01071,0.000346736,0.000346736,0.000346736
